Fach;Normalisiertes Kürzel;Zu Ersetzen
Big Band;BigBand;Bigband
Bildende Kunst;BK;
Biologie;Bio;
Orchester;Orch;
Chemie;Che;Ch
Chor Unterstufe;Chor;
Deutsch als Zweitsprache;DZw;
Deutsch;Deu;D
Camb. Certificate;Cambridge;E cam; EC
Englisch;Eng;E
Französisch;Frz;
Geographie;Geo;
Geschichte;Ges;Ge
Geschichte bilingual;GesBili;
Glück;Glü;
Informatik;Inf;Info
Journalistisches Schreiben;JourS;
Klassenrat;Kl-R;
Kreatives Schreiben;KreaS;
Kunst-Design-Digital;KuDeDi;
Latein;Lat;
Leseförderung;LFö;
Mathematik;Mat;Ma
Medien Gestalten;MeG;
Mathe Förderung;MFö;
Musikpraktischer Kurs;MuP;
Musik;Mus;Mu
NaWi;NaWi;
Naturwissenschaftliches Praktikum;NwP;
PGW;PGW;
Philosophie;Phil;
Physik;Phy;
Psychologie;Psy;
Religion;Rel;
Rechtschreib Förderung;RsFö;
Seminar;Sem;
Social Sciences;SocSc;
Spanisch;Spa;
Sport;Spo;
Sport Theorie;SpoThe;Spothe
Theater;The;Thea
Vorband;VorB;
Wirtschaft;Wir;Wirt
Wirtschaftspraktischer Kurs;WirPrax;Wirtprax
